tag,stem,mode,observable,phase,n_steps,slope_true_per_s,slope_pred_per_s,slope_naive_per_s
predrnnpp_image_only_delta,GRA29_C20_45deg_particle1,next_frame,p95,positive_current,130,-1.5962207440836842e-06,-3.623870003465421e-06,-1.5770110951798393e-06
predrnnpp_image_only_delta,GRA29_C20_45deg_particle1,next_frame,p95,negative_current,2794,5.096887277937159e-05,5.099966710576718e-05,5.0949612465667554e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle1,next_frame,bright_frac90,positive_current,130,6.568993234663773e-08,2.3392643826030103e-07,8.499191460079019e-08
predrnnpp_image_only_delta,GRA29_C20_45deg_particle1,next_frame,bright_frac90,negative_current,2794,1.1511743175138112e-05,1.1526316335575128e-05,1.1510829331512005e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle2,next_frame,mean,positive_current,130,-1.1739652852956379e-06,-4.745471139901029e-07,-1.1740172573721532e-06
predrnnpp_image_only_delta,GRA29_C20_45deg_particle2,next_frame,mean,negative_current,2794,2.6199167912066143e-05,2.6230939782647544e-05,2.6186093039382547e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle2,next_frame,p95,positive_current,130,3.7760041123528185e-06,2.0609200025300503e-06,3.895897601042791e-06
predrnnpp_image_only_delta,GRA29_C20_45deg_particle2,next_frame,p95,negative_current,2794,4.519211695718556e-05,4.523548911684602e-05,4.5173260052337496e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle2,next_frame,bright_frac90,positive_current,130,-5.023099683722474e-08,2.173812969562214e-07,-6.134119933919376e-08
predrnnpp_image_only_delta,GRA29_C20_45deg_particle2,next_frame,bright_frac90,negative_current,2794,1.041765600354639e-05,1.049555317840934e-05,1.0416921935595369e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle3,next_frame,mean,positive_current,130,-2.3755506530076087e-06,-9.989982187702695e-07,-2.389822566839469e-06
predrnnpp_image_only_delta,GRA29_C20_45deg_particle3,next_frame,mean,negative_current,2794,3.282283795937386e-05,3.2823677474914005e-05,3.280711064274803e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle3,next_frame,p95,positive_current,130,1.6564618447392059e-06,-8.599141356340697e-07,1.6092501421312558e-06
predrnnpp_image_only_delta,GRA29_C20_45deg_particle3,next_frame,p95,negative_current,2794,6.955119729271142e-05,6.955782444736372e-05,6.952166505557348e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle3,next_frame,bright_frac90,positive_current,130,-9.42358073083201e-07,-1.741014395749788e-07,-9.311183800032299e-07
predrnnpp_image_only_delta,GRA29_C20_45deg_particle3,next_frame,bright_frac90,negative_current,2794,1.105844520051928e-05,1.1057204434584107e-05,1.1054935330370819e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle4,next_frame,mean,positive_current,130,-1.1764593538342311e-05,-9.853387332430693e-06,-1.1900953391613548e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle4,next_frame,mean,negative_current,2794,3.162726271033146e-05,3.159815702248421e-05,3.160682435870868e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle4,next_frame,p95,positive_current,130,-2.7804316708432016e-05,-2.7306527582212485e-05,-2.8402472302609942e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle4,next_frame,p95,negative_current,2794,7.124461229184384e-05,7.121678207425397e-05,7.120125444949397e-05
predrnnpp_image_only_delta,GRA29_C20_45deg_particle4,next_frame,bright_frac90,positive_current,130,-7.468720029481563e-07,-3.9263626287467554e-07,-7.459017276879111e-07
predrnnpp_image_only_delta,GRA29_C20_45deg_particle4,next_frame,bright_frac90,negative_current,2794,8.233505063815039e-06,8.25501572653228e-06,8.230248866244606e-06
